,confessions,amitheasshole,rocstories,dearabby,total,average,model,shot_type
rot-agree-llm-prompt-output-zerop-description_label_gpt-3.5-turbo-0613_0,111.0,96.0,105.5,135.5,448.0,112.0,gpt-3.5-turbo-0613,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_gpt-3.5-turbo-0613_0,61.0,56.0,51.5,68.5,237.0,59.25,gpt-3.5-turbo-0613,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_gpt-3.5-turbo-0613_0,94.0,71.0,84.5,91.5,341.0,85.25,gpt-3.5-turbo-0613,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_gpt-3.5-turbo-0613_0,79.0,80.0,75.5,102.5,337.0,84.25,gpt-3.5-turbo-0613,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_gpt-3.5-turbo-0613_0,57.0,56.0,57.5,74.5,245.0,61.25,gpt-3.5-turbo-0613,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_gpt-4-turbo-2024-04-09_0,92.0,79.0,78.5,101.5,351.0,87.75,gpt-4-turbo-2024-04-09,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_gpt-4-turbo-2024-04-09_0,83.0,79.0,65.5,96.5,324.0,81.0,gpt-4-turbo-2024-04-09,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_gpt-4-turbo-2024-04-09_0,87.0,77.0,75.5,94.5,334.0,83.5,gpt-4-turbo-2024-04-09,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_gpt-4-turbo-2024-04-09_0,88.0,81.0,71.5,99.5,340.0,85.0,gpt-4-turbo-2024-04-09,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_gpt-4-turbo-2024-04-09_0,94.0,101.0,95.5,119.5,410.0,102.5,gpt-4-turbo-2024-04-09,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_gpt-4-turbo-2024-04-09_0,80.0,84.0,82.5,99.5,346.0,86.5,gpt-4-turbo-2024-04-09,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_gpt-4o-2024-08-06_0,97.0,92.0,80.5,111.5,381.0,95.25,gpt-4o-2024-08-06,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_gpt-4o-2024-08-06_0,98.0,90.0,80.5,111.5,380.0,95.0,gpt-4o-2024-08-06,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_gpt-4o-2024-08-06_0,92.0,90.0,75.5,106.5,364.0,91.0,gpt-4o-2024-08-06,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_gpt-4o-2024-08-06_0,94.0,89.0,77.5,101.5,362.0,90.5,gpt-4o-2024-08-06,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_gpt-4o-2024-08-06_0,79.0,74.0,62.5,91.5,307.0,76.75,gpt-4o-2024-08-06,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_gpt-4o-2024-08-06_0,73.0,85.0,67.5,90.5,316.0,79.0,gpt-4o-2024-08-06,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,60.0,54.0,60.5,75.5,250.0,62.5,Meta-Llama-3.1-405B-Instruct-Turbo,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,98.0,90.0,78.5,93.5,360.0,90.0,Meta-Llama-3.1-405B-Instruct-Turbo,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,58.0,49.0,47.5,65.5,220.0,55.0,Meta-Llama-3.1-405B-Instruct-Turbo,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,56.0,49.0,51.5,66.5,223.0,55.75,Meta-Llama-3.1-405B-Instruct-Turbo,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,90.0,84.0,80.5,100.5,355.0,88.75,Meta-Llama-3.1-405B-Instruct-Turbo,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_Meta-Llama-3.1-405B-Instruct-Turbo_0,89.0,92.0,92.5,97.5,371.0,92.75,Meta-Llama-3.1-405B-Instruct-Turbo,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,80.0,85.0,77.5,89.5,332.0,83.0,Meta-Llama-3.1-70B-Instruct-Turbo,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,92.0,99.0,87.5,92.5,371.0,92.75,Meta-Llama-3.1-70B-Instruct-Turbo,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,57.0,60.0,41.5,64.5,223.0,55.75,Meta-Llama-3.1-70B-Instruct-Turbo,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,74.0,79.0,63.5,73.5,290.0,72.5,Meta-Llama-3.1-70B-Instruct-Turbo,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,102.0,103.0,85.5,92.5,383.0,95.75,Meta-Llama-3.1-70B-Instruct-Turbo,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_Meta-Llama-3.1-70B-Instruct-Turbo_0,87.0,83.0,67.5,81.5,319.0,79.75,Meta-Llama-3.1-70B-Instruct-Turbo,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,77.0,81.0,72.5,83.5,314.0,78.5,Meta-Llama-3.1-8B-Instruct-Turbo,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,256.0,245.0,236.5,246.5,984.0,246.0,Meta-Llama-3.1-8B-Instruct-Turbo,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,118.0,112.0,138.5,144.5,513.0,128.25,Meta-Llama-3.1-8B-Instruct-Turbo,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,218.0,237.0,231.5,237.5,924.0,231.0,Meta-Llama-3.1-8B-Instruct-Turbo,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,117.0,112.0,125.5,112.5,467.0,116.75,Meta-Llama-3.1-8B-Instruct-Turbo,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_Meta-Llama-3.1-8B-Instruct-Turbo_0,255.0,262.0,266.5,283.5,1067.0,266.75,Meta-Llama-3.1-8B-Instruct-Turbo,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_Mixtral-8x22B-Instruct-v0.1_0,93.0,99.0,89.5,100.5,382.0,95.5,Mixtral-8x22B-Instruct-v0.1,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_Mixtral-8x22B-Instruct-v0.1_0,70.0,69.0,69.5,79.5,288.0,72.0,Mixtral-8x22B-Instruct-v0.1,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_Mixtral-8x22B-Instruct-v0.1_0,87.0,94.0,81.5,91.5,354.0,88.5,Mixtral-8x22B-Instruct-v0.1,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_Mixtral-8x22B-Instruct-v0.1_0,86.0,92.0,82.5,88.5,349.0,87.25,Mixtral-8x22B-Instruct-v0.1,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_Mixtral-8x22B-Instruct-v0.1_0,94.0,86.0,66.5,84.5,331.0,82.75,Mixtral-8x22B-Instruct-v0.1,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_Mixtral-8x22B-Instruct-v0.1_0,62.0,59.0,58.5,63.5,243.0,60.75,Mixtral-8x22B-Instruct-v0.1,five_shot_prompt_not_embedded_description
rot-agree-llm-prompt-output-zerop-nodescription_label_snowflake-arctic-instruct_0,78.0,74.0,89.5,95.5,337.0,84.25,snowflake-arctic-instruct,zero_shot_no_description
rot-agree-llm-prompt-output-zerop-description_label_snowflake-arctic-instruct_0,136.0,126.0,144.5,165.5,572.0,143.0,snowflake-arctic-instruct,zero_shot_prompt_description
rot-agree-llm-prompt-output-table-noexample_label_snowflake-arctic-instruct_0,47.0,46.0,52.5,57.5,203.0,50.75,snowflake-arctic-instruct,table_prompt_description
rot-agree-llm-prompt-output-table-example_label_snowflake-arctic-instruct_0,43.0,42.0,43.5,49.5,178.0,44.5,snowflake-arctic-instruct,table_prompt_description_example
rot-agree-llm-prompt-output-5-shot-embedded_label_snowflake-arctic-instruct_0,80.0,73.0,78.5,97.5,329.0,82.25,snowflake-arctic-instruct,five_shot_prompt_embedded_description
rot-agree-llm-prompt-output-5-shot-notembedded_label_snowflake-arctic-instruct_0,61.0,47.0,48.5,72.5,229.0,57.25,snowflake-arctic-instruct,five_shot_prompt_not_embedded_description
